Temat,Treść,Załącznik,Autor,Utworzono,Zaktualizowano

Wsparcie po szkoleniu.... ,"jeśli chcecie mieć ze mną kontakt - zapraszam.
",https://matrix.to/#/#python-adam-jurkiewicz:matrix.org,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-14 18:58:34 UTC,2022-10-14 18:58:34 UTC
Wsparcie po szkoleniu... Telefonem ;-),"A tu możesz skanować telefonem.
",https://padlet-uploads.storage.googleapis.com/276503622/7120491903b92af9416ce261ab4f1295/qr_code__2_.png,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-14 19:00:20 UTC,2022-10-14 19:00:20 UTC
Kody Pythona,"https://github.com/abixadamj/helion-python
",https://github.com/abixadamj/helion-python,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-18 07:27:23 UTC,2022-10-18 07:27:23 UTC
Kurs podstawowy.,"https://it-szkola.edu.pl/kkurs,kurs,216
","https://it-szkola.edu.pl/kkurs,kurs,216",ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-18 09:53:27 UTC,2022-10-18 09:53:27 UTC
Kurs Zaawansowany,"https://it-szkola.edu.pl/kkurs,kurs,217
","https://it-szkola.edu.pl/kkurs,kurs,217",ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-18 09:54:19 UTC,2022-10-18 09:54:19 UTC
Ciekawy projekt dla zespołów programistycznych,"https://programujwzespole.edu.pl/
",https://programujwzespole.edu.pl/,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-18 09:55:24 UTC,2022-10-18 09:55:24 UTC
Pakiety/moduły/biblioteki,"https://pypi.org/
",https://pypi.org/,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-18 10:27:15 UTC,2022-10-18 10:27:15 UTC
Windows i UTF-8,"https://github.com/mu-editor/mu/issues/1076
",https://github.com/mu-editor/mu/issues/1076,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-18 12:40:34 UTC,2022-10-18 12:40:34 UTC
Python dla nastolatków,"https://python.szkola.pl/
",https://python.szkola.pl/,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-18 12:41:36 UTC,2022-10-18 12:41:36 UTC
Markdown,"https://www.markdownguide.org/
",https://www.markdownguide.org/,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-19 08:46:40 UTC,2022-10-19 08:46:40 UTC
"","",https://hackmd.io/,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-19 08:47:51 UTC,2022-10-19 08:47:51 UTC
Własny GitHUB - GOGS,"https://hub.docker.com/r/gogs/gogs/
",https://hub.docker.com/r/gogs/gogs/,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-19 09:46:13 UTC,2022-10-19 09:46:13 UTC
"","",https://www.pysimplegui.org/en/latest/,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-19 11:57:32 UTC,2022-10-19 11:57:32 UTC
"","",https://python101.readthedocs.io/pl/latest/,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-19 12:01:15 UTC,2022-10-19 12:01:15 UTC
"","",https://pyinstaller.org/en/stable/,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-19 12:03:51 UTC,2022-10-19 12:03:51 UTC
Git Pull,"",https://padlet-uploads.storage.googleapis.com/276503622/2235f9daebae020b6c773aed5e04fbce/Zrzut_ekranu_z_2022_10_19_17_24_30.png,ABIX Edukacja Adam Jurkiewicz (abix_edukacja),2022-10-19 15:25:32 UTC,2022-10-19 15:25:32 UTC
